,iteration,filename,logit_1,logits_2,logits_3,logits_4,logits_5,rating
2187,064,064_im_75.png,1.4805907,-0.7847273,-0.4181235,-0.9611607,-0.57035637,1
2188,064,064_im_61.png,1.5325053,-0.8709897,-0.552129,-1.1679188,-0.6361955,1
2189,064,064_im_49.png,1.5902008,-0.88895756,-0.58601665,-1.2288789,-0.67980176,1
2190,064,064_im_48.png,1.5191487,-0.8350963,-0.49196973,-1.0991833,-0.61189765,1
2191,064,064_im_60.png,1.5304077,-0.8350002,-0.49893168,-1.1122974,-0.61512786,1
2192,064,064_im_74.png,1.4987001,-0.812676,-0.471949,-1.060428,-0.5954504,1
2193,064,064_im_58.png,1.5521618,-0.82857573,-0.5577433,-1.1636258,-0.64676785,1
2194,064,064_im_70.png,1.5037459,-0.81816506,-0.40828118,-1.0323685,-0.56584656,1
2195,064,064_im_64.png,1.4830638,-0.7749307,-0.3530937,-0.9274804,-0.5460353,1
2196,064,064_im_65.png,1.5021303,-0.8069981,-0.44467595,-1.0553839,-0.5836486,1
2197,064,064_im_71.png,1.5348709,-0.8507944,-0.51418257,-1.126991,-0.62520033,1
2198,064,064_im_59.png,1.4651647,-0.7970274,-0.30122432,-0.9158791,-0.51823354,1
2199,064,064_im_67.png,1.4367282,-0.76106584,-0.20517187,-0.75822735,-0.46499863,1
2200,064,064_im_73.png,1.542443,-0.85845524,-0.5210132,-1.1702207,-0.6304464,1
2201,064,064_im_98.png,1.5418073,-0.87138313,-0.568467,-1.1753521,-0.6517884,1
2202,064,064_im_99.png,1.5074698,-0.782696,-0.41953257,-0.99348605,-0.5789474,1
2203,064,064_im_72.png,1.5061893,-0.82170904,-0.46476775,-1.067466,-0.5981197,1
2204,064,064_im_66.png,1.5984145,-0.85932463,-0.58756983,-1.221152,-0.67581373,1
2205,008,008_im_28.png,2.7925982,-0.6405189,0.27358595,-1.0616173,0.044654954,1
2206,008,008_im_14.png,2.7589273,-0.5808758,0.26721492,-1.0275495,0.036745716,1
2207,008,008_im_5.png,2.722793,-0.6117967,0.21715657,-1.0484462,0.018082608,1
2208,008,008_im_4.png,2.7698884,-0.5883063,0.27472535,-1.0504003,0.056047533,1
2209,008,008_im_15.png,2.7318099,-0.7027752,0.17011441,-1.0651426,-0.016981896,1
2210,008,008_im_29.png,2.7086112,-0.61342716,0.20469658,-1.0352371,0.0058251806,1
2211,008,008_im_17.png,2.7968938,-0.6371291,0.28146356,-1.0662167,0.049595032,1
2212,008,008_im_6.png,2.7854297,-0.6248287,0.26120225,-1.0654085,0.034991134,1
2213,008,008_im_7.png,2.7747753,-0.65375096,0.24687211,-1.0695093,0.025793899,1
2214,008,008_im_16.png,2.7739959,-0.6205061,0.24963108,-1.0553164,0.03527445,1
2215,008,008_im_12.png,2.7379467,-0.5916479,0.2665079,-1.0331287,0.06287388,1
2216,008,008_im_3.png,2.8023067,-0.65076214,0.2810091,-1.0648683,0.04915074,1
2217,008,008_im_2.png,2.7803473,-0.635746,0.28836748,-1.0630095,0.03921521,1
2218,008,008_im_13.png,2.742037,-0.62113136,0.23803052,-1.0532713,0.018231634,1
2219,008,008_im_11.png,2.7765584,-0.6476715,0.2642333,-1.0808073,0.032864515,1
2220,008,008_im_39.png,2.7730813,-0.6383706,0.25149876,-1.0635022,0.035163034,1
