,blockorder,blockname,blocknumber,task,trialcount,tablerow,key,status,RT,target_button,batch,timeout,ITI,rate,rate_RT,rate_status,participant,correct,real,experience
48,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,49,174,1,1,1014,1,real,0,480,6,0,0,2,1,1,3
49,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,50,118,2,1,5223,2,24440,0,585,6,0,0,2,1,0,3
50,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,51,31,2,1,640,2,344,0,401,6,0,0,2,1,0,3
51,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,52,71,2,1,1000,2,7954,0,579,6,0,0,2,1,0,3
52,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,53,202,1,1,1079,1,real,0,475,6,0,0,2,1,1,3
53,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,54,197,1,1,1404,1,real,0,531,6,0,0,2,1,1,3
54,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,55,189,1,1,2159,1,real,0,504,6,0,0,2,1,1,3
55,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,56,13,2,1,639,2,344,0,474,6,0,0,2,1,0,3
56,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,57,154,2,1,4364,2,60000,0,461,6,0,0,2,1,0,3
57,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,58,111,2,1,3020,2,24440,0,470,6,0,0,2,1,0,3
58,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,59,93,2,1,945,2,7954,0,595,6,0,0,2,1,0,3
59,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,60,213,1,1,3776,1,real,0,560,6,0,0,2,1,1,3
60,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,61,185,1,1,1014,1,real,0,402,6,0,0,2,1,1,3
61,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,62,184,1,1,2080,1,real,0,500,6,0,0,2,1,1,3
62,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,63,135,2,1,3864,2,60000,0,458,6,0,0,2,1,0,3
63,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,64,3,2,1,583,2,344,0,582,6,0,0,2,1,0,3
64,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,65,41,2,1,779,2,1055,0,468,6,0,0,2,1,0,3
65,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,66,50,2,1,556,2,1055,0,561,6,0,0,2,1,0,3
66,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,67,83,2,1,996,2,7954,0,480,6,0,0,2,1,0,3
67,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,68,142,1,2,4460,2,60000,0,417,6,0,0,2,0,1,3
68,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,69,25,2,1,714,2,344,0,504,6,0,0,2,1,0,3
69,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,70,191,1,1,1415,1,real,0,500,6,0,0,2,1,1,3
70,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,71,17,2,1,663,2,344,0,511,6,0,0,2,1,0,3
71,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,72,53,2,1,899,2,1055,0,485,6,0,0,2,1,0,3
72,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,73,145,1,2,2489,2,60000,0,450,6,0,0,2,0,1,3
73,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,74,86,2,1,1931,2,7954,0,411,6,0,0,2,1,0,3
74,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,75,124,2,1,4456,2,24440,0,477,6,0,0,2,1,0,3
75,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,76,64,2,1,553,2,1055,0,531,6,0,0,2,1,0,3
76,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,77,204,1,1,1081,1,real,0,486,6,0,0,2,1,1,3
77,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,78,156,2,1,2222,2,60000,0,564,6,0,0,2,1,0,3
78,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,79,134,1,2,5935,2,60000,0,447,6,0,0,2,0,1,3
79,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,80,207,2,2,11970,1,real,0,498,6,0,0,2,0,0,3
80,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,81,138,1,2,3402,2,60000,0,511,6,0,0,2,0,1,3
81,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,82,77,2,1,1554,2,7954,0,592,6,0,0,2,1,0,3
82,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,83,68,2,1,1098,2,7954,0,520,6,0,0,2,1,0,3
83,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,84,55,2,1,833,2,1055,0,486,6,0,0,2,1,0,3
84,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,85,121,1,2,6510,2,24440,0,543,6,0,0,2,0,1,3
85,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,86,90,2,1,2234,2,7954,0,435,6,0,0,2,1,0,3
86,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,87,237,1,1,1143,1,real,0,430,6,0,0,2,1,1,3
87,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,88,183,1,1,871,1,real,0,519,6,0,0,2,1,1,3
88,1,MAIN_EXPERIMENT_BLOCK,3,MAIN_EXPERIMENT_TASK,89,128,2,1,934,2,24440,0,467,6,0,0,2,1,0,3
